dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
weighted_5000_001,EdgeSketch,4,10,0.3,1.0,0.999,0.6937,0.6002
weighted_5000_005,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.1827
weighted_5000_005,EdgeSketch,3,10,0.3,1.0,0.926,0.3521,0.1111
weighted_5000_005,EdgeSketch,4,10,0.3,1.0,0.926,0.3517,0.1109
weighted_5000_01,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.1025
weighted_5000_01,EdgeSketch,3,10,0.3,1.0,1.0,0.3779,0.0649
weighted_5000_01,EdgeSketch,4,10,0.3,1.0,1.0,0.3779,0.0649
wiki,EdgeSketch,2,10,0.3,0.88,0.786,0.5414,0.1499
wiki,EdgeSketch,3,10,0.3,0.88,0.786,0.5414,0.1499
wiki,EdgeSketch,4,10,0.3,0.88,0.786,0.5414,0.1499
Homo_sapiens,EdgeSketch_order_estimation,2,10,0.3,0.99,0.998,0.4413,0.1669
Homo_sapiens,EdgeSketch_order_estimation,3,10,0.3,1.0,0.999,0.2923,0.1576
Homo_sapiens,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.2921,0.1573
baralb_10000_16,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.1254
baralb_10000_16,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.3388,0.0772
baralb_10000_16,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.3388,0.0772
baralb_10000_2,EdgeSketch_order_estimation,2,10,0.3,1.0,0.997,0.8904,0.4481
baralb_10000_2,EdgeSketch_order_estimation,3,10,0.3,1.0,0.998,0.1292,0.2212
baralb_10000_2,EdgeSketch_order_estimation,4,10,0.3,1.0,0.648,0.0649,0.1745
baralb_10000_8,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9986,0.212
baralb_10000_8,EdgeSketch_order_estimation,3,10,0.3,1.0,0.694,0.1503,0.1061
baralb_10000_8,EdgeSketch_order_estimation,4,10,0.3,1.0,0.658,0.1438,0.0994
baralb_1000_16,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.1953,0.1729
baralb_1000_16,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.1978,0.1842
baralb_1000_16,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.1978,0.1842
baralb_1000_2,EdgeSketch_order_estimation,2,10,0.3,1.0,0.891,0.0891,0.4572
baralb_1000_2,EdgeSketch_order_estimation,3,10,0.3,0.99,0.208,0.0517,0.2879
baralb_1000_2,EdgeSketch_order_estimation,4,10,0.3,0.99,0.129,0.0419,0.2479
baralb_1000_8,EdgeSketch_order_estimation,2,10,0.3,1.0,0.997,0.1728,0.2509
baralb_1000_8,EdgeSketch_order_estimation,3,10,0.3,1.0,0.921,0.1536,0.2198
baralb_1000_8,EdgeSketch_order_estimation,4,10,0.3,1.0,0.921,0.1536,0.2198
baralb_2500_16,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.4768,0.1481
baralb_2500_16,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.3991,0.1467
baralb_2500_16,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.3991,0.1467
baralb_2500_2,EdgeSketch_order_estimation,2,10,0.3,1.0,0.973,0.2298,0.4657
baralb_2500_2,EdgeSketch_order_estimation,3,10,0.3,1.0,0.348,0.0854,0.2762
baralb_2500_2,EdgeSketch_order_estimation,4,10,0.3,0.99,0.175,0.0497,0.2261
baralb_2500_8,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.4151,0.2256
baralb_2500_8,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.1815,0.1518
baralb_2500_8,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.1819,0.1519
baralb_5000_16,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9245,0.133
baralb_5000_16,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.3253,0.094
baralb_5000_16,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.3253,0.094
baralb_5000_2,EdgeSketch_order_estimation,2,10,0.3,1.0,0.997,0.4408,0.4452
baralb_5000_2,EdgeSketch_order_estimation,3,10,0.3,1.0,0.698,0.0767,0.23
baralb_5000_2,EdgeSketch_order_estimation,4,10,0.3,1.0,0.375,0.0458,0.187
baralb_5000_8,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.8267,0.2153
baralb_5000_8,EdgeSketch_order_estimation,3,10,0.3,1.0,0.6,0.226,0.1191
baralb_5000_8,EdgeSketch_order_estimation,4,10,0.3,1.0,0.593,0.2218,0.1166
bin_10000_0005,EdgeSketch_order_estimation,2,10,0.3,0.99,0.998,0.9461,0.5074
bin_10000_0005,EdgeSketch_order_estimation,3,10,0.3,0.98,0.997,0.8953,0.5422
bin_10000_0005,EdgeSketch_order_estimation,4,10,0.3,0.98,0.981,0.8512,0.5443
bin_10000_001,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9916,0.3646
bin_10000_001,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.9692,0.3948
bin_10000_001,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.9604,0.393
bin_10000_005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.0981
bin_10000_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.936,0.3024,0.0529
bin_10000_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.936,0.3024,0.0529
bin_10000_01,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9998,0.0575
bin_10000_01,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,1.0,0.0533
bin_10000_01,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,1.0,0.0533
bin_1000_0005,EdgeSketch_order_estimation,2,10,0.3,0.97,0.21,0.021,0.8015
bin_1000_0005,EdgeSketch_order_estimation,3,10,0.3,0.97,0.223,0.0223,0.8511
bin_1000_0005,EdgeSketch_order_estimation,4,10,0.3,0.96,0.223,0.0223,0.8511
bin_1000_001,EdgeSketch_order_estimation,2,10,0.3,0.96,0.361,0.0361,0.7078
bin_1000_001,EdgeSketch_order_estimation,3,10,0.3,0.95,0.381,0.0382,0.749
bin_1000_001,EdgeSketch_order_estimation,4,10,0.3,0.95,0.377,0.0378,0.7412
bin_1000_005,EdgeSketch_order_estimation,2,10,0.3,1.0,0.952,0.1249,0.5106
bin_1000_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.825,0.1285,0.5273
bin_1000_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.827,0.128,0.5261
bin_1000_01,EdgeSketch_order_estimation,2,10,0.3,1.0,0.996,0.1849,0.373
bin_1000_01,EdgeSketch_order_estimation,3,10,0.3,1.0,0.816,0.1627,0.3391
bin_1000_01,EdgeSketch_order_estimation,4,10,0.3,1.0,0.809,0.1532,0.3223
bin_2500_0005,EdgeSketch_order_estimation,2,10,0.3,0.97,0.89,0.1067,0.7109
bin_2500_0005,EdgeSketch_order_estimation,3,10,0.3,0.95,0.883,0.1114,0.7422
bin_2500_0005,EdgeSketch_order_estimation,4,10,0.3,0.94,0.863,0.1108,0.7382
bin_2500_001,EdgeSketch_order_estimation,2,10,0.3,0.99,0.961,0.1861,0.601
bin_2500_001,EdgeSketch_order_estimation,3,10,0.3,0.99,0.95,0.1927,0.6233
bin_2500_001,EdgeSketch_order_estimation,4,10,0.3,0.99,0.849,0.1901,0.6165
bin_2500_005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.4883,0.3131
bin_2500_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.986,0.4086,0.294
bin_2500_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.986,0.3539,0.2781
bin_2500_01,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.5602,0.1853
bin_2500_01,EdgeSketch_order_estimation,3,10,0.3,1.0,0.732,0.2157,0.1261
bin_2500_01,EdgeSketch_order_estimation,4,10,0.3,1.0,0.732,0.2157,0.1262
bin_5000_0005,EdgeSketch_order_estimation,2,10,0.3,1.0,0.989,0.3865,0.6114
bin_5000_0005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.976,0.3918,0.638
bin_5000_0005,EdgeSketch_order_estimation,4,10,0.3,0.99,0.975,0.3826,0.628
bin_5000_001,EdgeSketch_order_estimation,2,10,0.3,1.0,0.999,0.6428,0.5098
bin_5000_001,EdgeSketch_order_estimation,3,10,0.3,1.0,0.995,0.6182,0.5441
bin_5000_001,EdgeSketch_order_estimation,4,10,0.3,1.0,0.995,0.6086,0.5494
bin_5000_005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9999,0.1813
bin_5000_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.932,0.3186,0.1313
bin_5000_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.932,0.3183,0.1314
bin_5000_01,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.1017
bin_5000_01,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.3188,0.0679
bin_5000_01,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.3188,0.0679
block_1000_2,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.4391,0.249
block_1000_2,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.454,0.3738
block_1000_2,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.454,0.3738
block_1000_4,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.3153,0.1486
block_1000_4,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.5335,0.3728
block_1000_4,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.5335,0.3728
block_1000_8,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.2565,0.1277
block_1000_8,EdgeSketch_order_estimation,3,10,0.3,1.0,0.884,0.558,0.4066
block_1000_8,EdgeSketch_order_estimation,4,10,0.3,1.0,0.884,0.5575,0.4063
block_2500_2,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.7158,0.244
block_2500_2,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.7048,0.3046
block_2500_2,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.7048,0.3046
block_2500_4,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.6732,0.1354
block_2500_4,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.5124,0.2375
block_2500_4,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.5124,0.2375
block_2500_8,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.6368,0.0909
block_2500_8,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.5194,0.258
block_2500_8,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.5194,0.258
block_5000_2,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9997,0.2433
block_5000_2,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.9995,0.2437
block_5000_2,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.9995,0.2437
block_5000_4,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9998,0.129
block_5000_4,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.9998,0.1714
block_5000_4,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.9998,0.1714
block_5000_8,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.9999,0.0767
block_5000_8,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.7622,0.1648
block_5000_8,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.7622,0.1648
blogcatalog,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.7755,0.1943
blogcatalog,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.7647,0.1988
blogcatalog,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.7647,0.1988
dblp,EdgeSketch_order_estimation,2,10,0.3,0.99,0.994,0.9489,0.426
dblp,EdgeSketch_order_estimation,3,10,0.3,1.0,0.995,0.731,0.449
dblp,EdgeSketch_order_estimation,4,10,0.3,1.0,0.997,0.6317,0.4303
weighted_10000_0005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.5505
weighted_10000_0005,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.94,0.6124
weighted_10000_0005,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.9207,0.6073
weighted_10000_001,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.3721
weighted_10000_001,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.9671,0.4235
weighted_10000_001,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.9714,0.4275
weighted_10000_005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.0989
weighted_10000_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.941,0.3344,0.0581
weighted_10000_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.941,0.3344,0.0581
weighted_10000_01,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.0583
weighted_10000_01,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,1.0,0.05
weighted_10000_01,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,1.0,0.05
weighted_1000_0005,EdgeSketch_order_estimation,2,10,0.3,1.0,0.223,0.0223,0.9449
weighted_1000_0005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.219,0.0219,0.928
weighted_1000_0005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.219,0.0219,0.928
weighted_1000_001,EdgeSketch_order_estimation,2,10,0.3,1.0,0.424,0.0424,0.8778
weighted_1000_001,EdgeSketch_order_estimation,3,10,0.3,1.0,0.414,0.0414,0.8571
weighted_1000_001,EdgeSketch_order_estimation,4,10,0.3,1.0,0.405,0.0405,0.8385
weighted_1000_005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.1413,0.5537
weighted_1000_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.947,0.1481,0.5803
weighted_1000_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.938,0.1475,0.578
weighted_1000_01,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.1887,0.375
weighted_1000_01,EdgeSketch_order_estimation,3,10,0.3,1.0,0.938,0.1839,0.3655
weighted_1000_01,EdgeSketch_order_estimation,4,10,0.3,1.0,0.841,0.1577,0.3134
weighted_2500_0005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.1295,0.8382
weighted_2500_0005,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.1192,0.7715
weighted_2500_0005,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.1147,0.7424
weighted_2500_001,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.2236,0.7255
weighted_2500_001,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.2222,0.721
weighted_2500_001,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.2195,0.7122
weighted_2500_005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.4989,0.3168
weighted_2500_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.998,0.4304,0.2834
weighted_2500_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.99,0.3807,0.2697
weighted_2500_01,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.5631,0.1871
weighted_2500_01,EdgeSketch_order_estimation,3,10,0.3,1.0,0.808,0.2372,0.1301
weighted_2500_01,EdgeSketch_order_estimation,4,10,0.3,1.0,0.808,0.2372,0.1301
weighted_5000_0005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.4527,0.7284
weighted_5000_0005,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.4418,0.7109
weighted_5000_0005,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.4346,0.6993
weighted_5000_001,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,0.6884,0.5555
weighted_5000_001,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.697,0.6128
weighted_5000_001,EdgeSketch_order_estimation,4,10,0.3,1.0,0.999,0.6936,0.6001
weighted_5000_005,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.1827
weighted_5000_005,EdgeSketch_order_estimation,3,10,0.3,1.0,0.926,0.3521,0.1111
weighted_5000_005,EdgeSketch_order_estimation,4,10,0.3,1.0,0.926,0.3517,0.1109
weighted_5000_01,EdgeSketch_order_estimation,2,10,0.3,1.0,1.0,1.0,0.1025
weighted_5000_01,EdgeSketch_order_estimation,3,10,0.3,1.0,1.0,0.3779,0.0649
weighted_5000_01,EdgeSketch_order_estimation,4,10,0.3,1.0,1.0,0.3779,0.0649
wiki,EdgeSketch_order_estimation,2,10,0.3,0.88,0.786,0.5414,0.2548
wiki,EdgeSketch_order_estimation,3,10,0.3,0.88,0.786,0.5414,0.2548
wiki,EdgeSketch_order_estimation,4,10,0.3,0.88,0.786,0.5414,0.2548
