dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
bin_2500_001,NodeSketch,2,10,0.3,0.91,0.703,0.1648,0.532
bin_2500_001,NodeSketch,3,10,0.3,0.97,0.811,0.1834,0.592
bin_2500_001,NodeSketch,4,10,0.3,0.92,0.668,0.1341,0.4329
bin_2500_005,NodeSketch,2,10,0.3,0.55,0.381,0.2316,0.2046
bin_2500_005,NodeSketch,3,10,0.3,0.09,0.033,0.0194,0.0162
bin_2500_005,NodeSketch,4,10,0.3,0.0,0.005,0.0053,0.0052
bin_2500_01,NodeSketch,2,10,0.3,0.23,0.131,0.1231,0.0997
bin_2500_01,NodeSketch,3,10,0.3,0.1,0.051,0.0209,0.016
bin_2500_01,NodeSketch,4,10,0.3,0.01,0.006,0.009,0.0103
bin_5000_0005,NodeSketch,2,10,0.3,0.97,0.797,0.3518,0.5564
bin_5000_0005,NodeSketch,3,10,0.3,0.94,0.818,0.3326,0.526
bin_5000_0005,NodeSketch,4,10,0.3,1.0,0.872,0.3396,0.5371
bin_5000_001,NodeSketch,2,10,0.3,0.81,0.661,0.3833,0.3533
bin_5000_001,NodeSketch,3,10,0.3,0.63,0.265,0.1128,0.0921
bin_5000_001,NodeSketch,4,10,0.3,0.49,0.145,0.059,0.056
bin_5000_005,NodeSketch,2,10,0.3,0.45,0.242,0.1406,0.0974
bin_5000_005,NodeSketch,3,10,0.3,0.05,0.022,0.01,0.0073
bin_5000_005,NodeSketch,4,10,0.3,0.0,0.005,0.0042,0.0051
bin_5000_01,NodeSketch,2,10,0.3,0.19,0.111,0.0812,0.0545
bin_5000_01,NodeSketch,3,10,0.3,0.07,0.036,0.0209,0.0131
bin_5000_01,NodeSketch,4,10,0.3,0.01,0.009,0.0095,0.0095
block_1000_2,NodeSketch,2,10,0.3,0.57,0.525,0.5136,0.5072
block_1000_2,NodeSketch,3,10,0.3,0.47,0.527,0.5089,0.5016
block_1000_2,NodeSketch,4,10,0.3,0.44,0.523,0.5079,0.5022
block_1000_4,NodeSketch,2,10,0.3,0.5,0.542,0.5343,0.5131
block_1000_4,NodeSketch,3,10,0.3,0.53,0.483,0.4991,0.5003
block_1000_4,NodeSketch,4,10,0.3,0.46,0.499,0.4983,0.5008
block_1000_8,NodeSketch,2,10,0.3,0.66,0.594,0.5521,0.5234
block_1000_8,NodeSketch,3,10,0.3,0.51,0.528,0.5158,0.5063
block_1000_8,NodeSketch,4,10,0.3,0.5,0.496,0.5002,0.5029
block_2500_2,NodeSketch,2,10,0.3,0.62,0.53,0.5163,0.5027
block_2500_2,NodeSketch,3,10,0.3,0.58,0.492,0.5007,0.5003
block_2500_2,NodeSketch,4,10,0.3,0.58,0.492,0.5007,0.5003
block_2500_4,NodeSketch,2,10,0.3,0.53,0.53,0.5223,0.5055
block_2500_4,NodeSketch,3,10,0.3,0.46,0.509,0.5015,0.5012
block_2500_4,NodeSketch,4,10,0.3,0.47,0.494,0.4972,0.5011
block_2500_8,NodeSketch,2,10,0.3,0.54,0.552,0.5294,0.5108
block_2500_8,NodeSketch,3,10,0.3,0.5,0.513,0.5051,0.4997
block_2500_8,NodeSketch,4,10,0.3,0.54,0.51,0.5027,0.4994
block_5000_2,NodeSketch,2,10,0.3,0.51,0.508,0.5027,0.5014
block_5000_2,NodeSketch,3,10,0.3,0.51,0.506,0.5001,0.5002
block_5000_2,NodeSketch,4,10,0.3,0.51,0.506,0.5001,0.5002
block_5000_4,NodeSketch,2,10,0.3,0.51,0.532,0.5177,0.5032
block_5000_4,NodeSketch,3,10,0.3,0.45,0.518,0.5068,0.5003
block_5000_4,NodeSketch,4,10,0.3,0.45,0.518,0.5058,0.5002
block_5000_8,NodeSketch,2,10,0.3,0.53,0.518,0.5179,0.5057
block_5000_8,NodeSketch,3,10,0.3,0.39,0.491,0.499,0.4995
block_5000_8,NodeSketch,4,10,0.3,0.39,0.487,0.4956,0.4996
blogcatalog,NodeSketch,2,10,0.3,0.0,0.005,0.0107,0.0106
blogcatalog,NodeSketch,3,10,0.3,0.02,0.088,0.0531,0.0261
blogcatalog,NodeSketch,4,10,0.3,0.02,0.007,0.0053,0.012
dblp,NodeSketch,2,10,0.3,1.0,0.998,0.9207,0.5729
dblp,NodeSketch,3,10,0.3,0.89,0.783,0.4085,0.2446
dblp,NodeSketch,4,10,0.3,0.43,0.218,0.1592,0.1228
weighted_10000_0005,NodeSketch,2,10,0.3,0.0,0.0,0.0012,0.0031
weighted_10000_0005,NodeSketch,3,10,0.3,0.0,0.0,0.007,0.0248
weighted_10000_0005,NodeSketch,4,10,0.3,0.0,0.006,0.0122,0.012
weighted_10000_001,NodeSketch,2,10,0.3,0.0,0.0,0.0016,0.0055
weighted_10000_001,NodeSketch,3,10,0.3,0.01,0.017,0.012,0.006
weighted_10000_001,NodeSketch,4,10,0.3,0.0,0.003,0.0084,0.0099
weighted_10000_005,NodeSketch,2,10,0.3,0.01,0.008,0.0054,0.0065
weighted_10000_005,NodeSketch,3,10,0.3,0.0,0.007,0.0086,0.0063
weighted_10000_005,NodeSketch,4,10,0.3,0.0,0.004,0.0064,0.0088
weighted_10000_01,NodeSketch,2,10,0.3,0.0,0.01,0.0086,0.0107
weighted_10000_01,NodeSketch,3,10,0.3,0.03,0.012,0.0101,0.0117
weighted_10000_01,NodeSketch,4,10,0.3,0.01,0.011,0.0151,0.0138
weighted_1000_0005,NodeSketch,2,10,0.3,0.09,0.06,0.006,0.2542
weighted_1000_0005,NodeSketch,3,10,0.3,0.12,0.105,0.0105,0.4449
weighted_1000_0005,NodeSketch,4,10,0.3,0.09,0.094,0.0094,0.3983
weighted_1000_001,NodeSketch,2,10,0.3,0.02,0.105,0.0105,0.2174
weighted_1000_001,NodeSketch,3,10,0.3,0.02,0.095,0.0095,0.1967
weighted_1000_001,NodeSketch,4,10,0.3,0.02,0.09,0.009,0.1863
weighted_1000_005,NodeSketch,2,10,0.3,0.0,0.002,0.0011,0.0043
weighted_1000_005,NodeSketch,3,10,0.3,0.0,0.005,0.0037,0.0145
weighted_1000_005,NodeSketch,4,10,0.3,0.01,0.008,0.0046,0.018
weighted_1000_01,NodeSketch,2,10,0.3,0.01,0.008,0.0067,0.0133
weighted_1000_01,NodeSketch,3,10,0.3,0.0,0.007,0.0058,0.0115
weighted_1000_01,NodeSketch,4,10,0.3,0.01,0.007,0.0054,0.0107
weighted_2500_0005,NodeSketch,2,10,0.3,0.01,0.016,0.0173,0.112
weighted_2500_0005,NodeSketch,3,10,0.3,0.02,0.023,0.0164,0.1061
weighted_2500_0005,NodeSketch,4,10,0.3,0.02,0.029,0.0179,0.1159
weighted_2500_001,NodeSketch,2,10,0.3,0.0,0.002,0.0038,0.0123
weighted_2500_001,NodeSketch,3,10,0.3,0.0,0.005,0.009,0.0292
weighted_2500_001,NodeSketch,4,10,0.3,0.0,0.002,0.0103,0.0334
weighted_2500_005,NodeSketch,2,10,0.3,0.0,0.003,0.0057,0.0056
weighted_2500_005,NodeSketch,3,10,0.3,0.0,0.007,0.0181,0.0181
weighted_2500_005,NodeSketch,4,10,0.3,0.0,0.009,0.0131,0.0151
weighted_2500_01,NodeSketch,2,10,0.3,0.02,0.011,0.0108,0.0118
weighted_2500_01,NodeSketch,3,10,0.3,0.01,0.008,0.0139,0.0173
weighted_2500_01,NodeSketch,4,10,0.3,0.02,0.014,0.0157,0.0196
weighted_5000_0005,NodeSketch,2,10,0.3,0.01,0.004,0.0176,0.0283
weighted_5000_0005,NodeSketch,3,10,0.3,0.01,0.003,0.0179,0.0288
weighted_5000_0005,NodeSketch,4,10,0.3,0.0,0.002,0.0214,0.0344
weighted_5000_001,NodeSketch,2,10,0.3,0.0,0.001,0.0053,0.0052
weighted_5000_001,NodeSketch,3,10,0.3,0.0,0.001,0.0079,0.0103
weighted_5000_001,NodeSketch,4,10,0.3,0.0,0.003,0.0167,0.0164
weighted_5000_005,NodeSketch,2,10,0.3,0.0,0.003,0.0056,0.0064
weighted_5000_005,NodeSketch,3,10,0.3,0.0,0.006,0.0053,0.0115
weighted_5000_005,NodeSketch,4,10,0.3,0.01,0.004,0.0074,0.0128
weighted_5000_01,NodeSketch,2,10,0.3,0.0,0.009,0.0119,0.0119
weighted_5000_01,NodeSketch,3,10,0.3,0.01,0.011,0.0141,0.0138
weighted_5000_01,NodeSketch,4,10,0.3,0.01,0.018,0.0133,0.0132
wiki,NodeSketch,2,10,0.3,0.2,0.06,0.025,0.0334
wiki,NodeSketch,3,10,0.3,0.12,0.066,0.0174,0.0059
wiki,NodeSketch,4,10,0.3,1.0,0.863,0.389,0.1245
Homo_sapiens,EdgeSketch,2,10,0.3,1.0,1.0,0.4459,0.1202
Homo_sapiens,EdgeSketch,3,10,0.3,1.0,1.0,0.3036,0.1153
Homo_sapiens,EdgeSketch,4,10,0.3,1.0,1.0,0.3035,0.1163
baralb_10000_16,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.1177
baralb_10000_16,EdgeSketch,3,10,0.3,1.0,1.0,0.3391,0.0582
baralb_10000_16,EdgeSketch,4,10,0.3,1.0,1.0,0.3391,0.0582
baralb_10000_2,EdgeSketch,2,10,0.3,1.0,1.0,0.973,0.4868
baralb_10000_2,EdgeSketch,3,10,0.3,1.0,1.0,0.13,0.0686
baralb_10000_2,EdgeSketch,4,10,0.3,1.0,0.649,0.065,0.0328
baralb_10000_8,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.209
baralb_10000_8,EdgeSketch,3,10,0.3,1.0,0.696,0.1521,0.0705
baralb_10000_8,EdgeSketch,4,10,0.3,1.0,0.66,0.1456,0.0649
baralb_1000_16,EdgeSketch,2,10,0.3,1.0,1.0,0.2105,0.1424
baralb_1000_16,EdgeSketch,3,10,0.3,1.0,1.0,0.2197,0.1578
baralb_1000_16,EdgeSketch,4,10,0.3,1.0,1.0,0.2197,0.1578
baralb_1000_2,EdgeSketch,2,10,0.3,1.0,0.974,0.0974,0.4877
baralb_1000_2,EdgeSketch,3,10,0.3,1.0,0.213,0.0313,0.1567
baralb_1000_2,EdgeSketch,4,10,0.3,1.0,0.134,0.0188,0.0941
baralb_1000_8,EdgeSketch,2,10,0.3,1.0,1.0,0.178,0.2241
baralb_1000_8,EdgeSketch,3,10,0.3,1.0,0.921,0.1765,0.2222
baralb_1000_8,EdgeSketch,4,10,0.3,1.0,0.921,0.1765,0.2222
baralb_2500_16,EdgeSketch,2,10,0.3,1.0,1.0,0.4809,0.1312
baralb_2500_16,EdgeSketch,3,10,0.3,1.0,1.0,0.4084,0.1289
baralb_2500_16,EdgeSketch,4,10,0.3,1.0,1.0,0.4084,0.1289
baralb_2500_2,EdgeSketch,2,10,0.3,1.0,1.0,0.2517,0.5037
baralb_2500_2,EdgeSketch,3,10,0.3,1.0,0.351,0.0489,0.0979
baralb_2500_2,EdgeSketch,4,10,0.3,1.0,0.176,0.0343,0.0686
baralb_2500_8,EdgeSketch,2,10,0.3,1.0,1.0,0.4192,0.2123
baralb_2500_8,EdgeSketch,3,10,0.3,1.0,1.0,0.1881,0.1443
baralb_2500_8,EdgeSketch,4,10,0.3,1.0,1.0,0.1885,0.1444
baralb_5000_16,EdgeSketch,2,10,0.3,1.0,1.0,0.9245,0.1203
baralb_5000_16,EdgeSketch,3,10,0.3,1.0,1.0,0.3309,0.1033
baralb_5000_16,EdgeSketch,4,10,0.3,1.0,1.0,0.3309,0.1033
baralb_5000_2,EdgeSketch,2,10,0.3,1.0,1.0,0.4866,0.4867
baralb_5000_2,EdgeSketch,3,10,0.3,1.0,0.699,0.0778,0.0778
baralb_5000_2,EdgeSketch,4,10,0.3,1.0,0.375,0.0487,0.0487
baralb_5000_8,EdgeSketch,2,10,0.3,1.0,1.0,0.8297,0.209
baralb_5000_8,EdgeSketch,3,10,0.3,1.0,0.6,0.237,0.1077
baralb_5000_8,EdgeSketch,4,10,0.3,1.0,0.593,0.2327,0.1047
bin_10000_0005,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.5562
bin_10000_0005,EdgeSketch,3,10,0.3,1.0,1.0,0.9446,0.6179
bin_10000_0005,EdgeSketch,4,10,0.3,1.0,0.985,0.8983,0.6072
bin_10000_001,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.3721
bin_10000_001,EdgeSketch,3,10,0.3,1.0,1.0,0.9748,0.4285
bin_10000_001,EdgeSketch,4,10,0.3,1.0,1.0,0.9665,0.4301
bin_10000_005,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.0981
bin_10000_005,EdgeSketch,3,10,0.3,1.0,0.936,0.3025,0.0557
bin_10000_005,EdgeSketch,4,10,0.3,1.0,0.936,0.3025,0.0557
bin_10000_01,EdgeSketch,2,10,0.3,1.0,1.0,0.9998,0.0576
bin_10000_01,EdgeSketch,3,10,0.3,1.0,1.0,1.0,0.05
bin_10000_01,EdgeSketch,4,10,0.3,1.0,1.0,1.0,0.05
bin_1000_0005,EdgeSketch,2,10,0.3,1.0,0.236,0.0236,0.9008
bin_1000_0005,EdgeSketch,3,10,0.3,1.0,0.238,0.0238,0.9084
bin_1000_0005,EdgeSketch,4,10,0.3,1.0,0.237,0.0237,0.9046
bin_1000_001,EdgeSketch,2,10,0.3,1.0,0.43,0.043,0.8431
bin_1000_001,EdgeSketch,3,10,0.3,1.0,0.423,0.0423,0.8294
